"","uf","ibge","municipio","cnes","estabelecimento","pop_vinc","bnf_pbf","perc_benef_pbf"
"3282","BA","290395","BOM JESUS DA SERRA",5541883,"USF JOAQUIM GONCALVES SOUZA",3155,983,0.31
"3283","BA","290410","BOQUIRA",4022858,"UNIDADE BASICA DE SAUDE DE BOQUIRA",1945,888,0.46
"3284","BA","290420","BOTUPORÃ",6220711,"UNIDADE DE SAUDE DA FAMILIA SEDE",6642,2368,0.36
"3285","BA","290450","BROTAS DE MACAÚBAS",2386380,"UNIDADE DE SAUDE DA FAMILIA SEDE II",2051,846,0.41
"3286","BA","290460","BRUMADO",2386577,"USF JOAQUIM DE CASTRO DONATO",3851,1402,0.36
"3287","BA","290460","BRUMADO",2771470,"UNIDADE DE SAUDE DA FAMILIA WILSON TIBO",4135,840,0.2
"3288","BA","290460","BRUMADO",2771950,"UNIDADE DE SAUDE DA FAMILIA RAIMUNDO FERNANDES",3666,1600,0.44
"3289","BA","290460","BRUMADO",2771837,"USF LEOBINO JOSE DE SOUZA",1802,386,0.21
"3290","BA","290470","BUERAREMA",2386607,"ESF BUERAREMA",1907,382,0.2
"3291","BA","290470","BUERAREMA",2386593,"ESF FLORA SANTA FE",2357,588,0.25
"3292","BA","290475","BURITIRAMA",4023277,"UNIDADE DE SAUDE DA FAMILIA SINVAL PINHEIRO DE SOUZA",3892,1306,0.34
"3293","BA","290485","CABACEIRAS DO PARAGUAÇU",5273951,"USF PEDRO RUFINO SANTANA",2606,1044,0.4
"3294","BA","290490","CACHOEIRA",3323935,"USF AGNALDO RIBEIRO COSTA",3040,888,0.29
"3295","BA","290500","CACULÉ",5461782,"USF SENHORA SANTANA",1572,487,0.31
"3296","BA","290510","CAÉM",2387085,"POSTO DE SAUDE DA FAMILIA DE GONCALO",2759,966,0.35
"3297","BA","290510","CAÉM",7929781,"UNIDADE DE SAUDE DA FAMILIA EMILIA ANDRADE",2549,941,0.37
"3298","BA","290515","CAETANOS",7467281,"USF JOSE ALVES TEIXEIRA",2788,1211,0.43
"3299","BA","290520","CAETITÉ",4037057,"UNIDADE DE SAUDE DA FAMILIA LUCIENE ABREU LOPES",77,15,0.19
"3300","BA","290530","CAFARNAUM",6055125,"UNIDADE DE SAUDE DA FAMILIA DR ALEXANDRE FARIAS DA SILVA",3636,1055,0.29
"3301","BA","290560","CAMACAN",5492483,"PSF RURAL I",1413,582,0.41
"3302","BA","290570","CAMAÇARI",2387816,"UBS CAMACARI DE DENTRO",8051,1475,0.18
"3303","BA","290570","CAMAÇARI",6636381,"USF DO PONTO CERTO",7434,1262,0.17
"3304","BA","290570","CAMAÇARI",2647028,"USF DO DOIS DE JULHO",3603,708,0.2
"3305","BA","290570","CAMAÇARI",2387921,"USF DE MACHADINHO",2961,698,0.24
"3306","BA","290570","CAMAÇARI",2387999,"USF DO NOVO HORIZONTE",7027,1440,0.2
"3307","BA","290570","CAMAÇARI",3719014,"USF DO SANTO ANTONIO",3570,969,0.27
"3308","BA","290570","CAMAÇARI",6636446,"USF DO GRAVATA",6146,1349,0.22
"3309","BA","290570","CAMAÇARI",9356681,"USF CAMINHO DO MAR",5183,1602,0.31
"3310","BA","290590","CAMPO ALEGRE DE LOURDES",3576752,"USF PEDRO ALCANTARA",3788,996,0.26
"3311","BA","290600","CAMPO FORMOSO",4023722,"P S DA FAMILIA DO POVOADO DE SAO TOME",2511,1174,0.47
"3312","BA","290600","CAMPO FORMOSO",4023749,"P S DA FAMILIA DO POVOADO DE TUIUTIBA",3458,1538,0.44
"3313","BA","290600","CAMPO FORMOSO",3477738,"UNIDADE BASICA DE SAUDE DA FAMILIA DE BREJAO DA CAATINGA",2020,1024,0.51
"3314","BA","290630","CANAVIEIRAS",3666336,"UNIDADE DE SAUDE ZONA RURAL",1199,499,0.42
"3315","BA","290670","CÂNDIDO SALES",3875229,"USF USINA",2587,835,0.32
"3316","BA","290680","CANSANÇÃO",3903508,"UNIDADE DE SAUDE DA FAMILIA DO MONTEIRO DE CIMA",2584,1422,0.55
"3317","BA","290682","CANUDOS",101184,"EQUIPE DE DE SAUDE DA FAMILIA NUCLEO I 50",72,34,0.47
"3318","BA","290682","CANUDOS",2800225,"UNID DE SAUDE DA FAMILIA PSF BENDEGO",2756,1366,0.5
"3319","BA","290682","CANUDOS",7247710,"UNIDADE DE SAUDE DA FAMILIA PSF MARIA GONCALVES DE CARVALHO",2705,1391,0.51
"3320","BA","290687","CAPIM GROSSO",2388324,"CENTRO DE SAUDE DE CAPIM GROSSO",3844,596,0.16
"3321","BA","290687","CAPIM GROSSO",6820468,"ESF SB JARDIM FORMOSA",4072,1274,0.31
"3322","BA","290700","CARDEAL DA SILVA",2512114,"PSF NOVA PASTORA",2480,891,0.36
"3323","BA","290720","CASA NOVA",6299024,"ESF JEFERSON A SANTOS SANTANA 5",3011,1082,0.36
"3324","BA","290720","CASA NOVA",6346839,"ESF CESAR RIBEIRO DOS SANTOS BEM BOM",3074,1186,0.39
"3325","BA","290730","CASTRO ALVES",3675947,"ESF GERALDO CAMPOS DE MOURA",1891,785,0.42
"3326","BA","290730","CASTRO ALVES",4024338,"ESF DO SITIO DO MEIO",2478,945,0.38
"3327","BA","290730","CASTRO ALVES",7023146,"ESF MANOELITO CERQUEIRA LIMA",4521,1390,0.31
"3328","BA","290750","CATU",2388472,"UNIDADE DE SAUDE DA FAMILIA DE PEDRAS",1353,455,0.34
"3329","BA","290750","CATU",2388707,"UNIDADE DE SAUDE DA FAMILIA DE ALEXANDRE FERREIRA",1855,665,0.36
"3330","BA","290755","CATURAMA",4024397,"UBSF CATURAMA",3029,1205,0.4
"3331","BA","290760","CENTRAL",7429118,"UNIDADE DE SAUDE DA FAMILIA ZONA SUL",3525,958,0.27
"3332","BA","290790","CIPÓ",4024532,"UNIDADE BASICA DE SAUDE DA FAMILIA JORRO",3292,898,0.27
"3333","BA","290810","COCOS",6263062,"UNIDADE DE SAUDE DA FAMILIA FELICIANA SOUZA DOS REIS",2789,680,0.24
"3334","BA","290820","CONCEIÇÃO DA FEIRA",9247270,"USF CINCO PORTAS",3031,969,0.32
"3335","BA","290840","CONCEIÇÃO DO COITÉ",2601222,"UNIDADE BASICA DE SAUDE DA FAMILIA DE AROEIRA",3235,1284,0.4
"3336","BA","290850","CONCEIÇÃO DO JACUÍPE",3018652,"UNIDADE DE SAUDE DA FAMILIA DO TABULEIRO",190,69,0.36
"3337","BA","290850","CONCEIÇÃO DO JACUÍPE",9060383,"UNIDADE DE SAUDE DA FAMILIA GRACILIANO PEREIRA COELHO",2102,620,0.29
"3338","BA","290860","CONDE",2626861,"UNIDADE DE SAUDE DA FAMILIA DE BARRA DO ITARIRI",1373,522,0.38
"3339","BA","290860","CONDE",2626888,"UNIDADE DE SAUDE DA FAMILIA DE SITIO DO CONDE",3122,1127,0.36
"3340","BA","290870","CONDEÚBA",6790704,"U S F RITA MARIA DA TRINDADE",2369,739,0.31
"3341","BA","290880","CONTENDAS DO SINCORÁ",4024818,"USF VALDIR NERYS DE OLIVEIRA",2170,681,0.31
"3342","BA","290890","CORAÇÃO DE MARIA",3464415,"USF JOAO PAULO II",2513,1116,0.44
"3343","BA","290890","CORAÇÃO DE MARIA",3998797,"USF TOMAZIA GOMES DA SILVA",1490,726,0.49
"3344","BA","290910","CORIBE",6186769,"USF PARTEIRA DONA INES",3294,1307,0.4
"3345","BA","290920","CORONEL JOÃO SÁ",3277356,"UNIDADE DE SAUDE DA FAMILIA BARRA LARGA",1584,745,0.47
"3346","BA","290920","CORONEL JOÃO SÁ",6286119,"UNIDADE DE SAUDE DA FAMILIA RIO DO PEIXE",1429,627,0.44
"3347","BA","290930","CORRENTINA",3778088,"USF DO CARUARU",0,NA,NA
"3348","BA","290930","CORRENTINA",394904,"USF DE SANTO ANTONIO",1029,527,0.51
"3349","BA","290930","CORRENTINA",6733468,"PSF DE APARECIDA DO OESTE",1329,647,0.49
"3350","BA","290960","CRISÓPOLIS",2620448,"USF JOSE ALVES DE SOUZA NETO",2361,929,0.39
"3351","BA","290960","CRISÓPOLIS",2620456,"USF ADRIANO FILGUEIRAS DE SANTANA",3229,1254,0.39
"3352","BA","290960","CRISÓPOLIS",5379016,"CENTRO MUNICIPAL DE SAUDE",4942,1592,0.32
"3353","BA","290960","CRISÓPOLIS",7716311,"ESF MANOEL BINA DOS SANTOS",1400,584,0.42
"3354","BA","290980","CRUZ DAS ALMAS",5717558,"USF BALBINA PEREIRA DA SILVA SAO JUDAS TADEU",2901,596,0.21
"3355","BA","290980","CRUZ DAS ALMAS",6237770,"USF VILAREJO",4225,850,0.2
"3356","BA","290980","CRUZ DAS ALMAS",6992226,"USF VERIDIANO BARBOSA DE SOUZA TOUQUINHA",3421,1076,0.31
"3357","BA","290990","CURAÇÁ",806013,"UNIDADE DE SAUDE DA FAMILIA JOSE HUGO FELIX BORGES",2498,1017,0.41
"3358","BA","290990","CURAÇÁ",2400898,"UNIDADE DE SAUDE DA FAMILIA DE PATAMUTE",1597,600,0.38
"3359","BA","291000","DÁRIO MEIRA",6453716,"USF JOAO FRANCISCO CARDOSO",1548,656,0.42
"3360","BA","291005","DIAS D'ÁVILA",3893243,"UNIDADE SAUDE DA FAMILIA ENTRONCAMENTO",5855,1660,0.28
"3361","BA","291005","DIAS D'ÁVILA",9755845,"UNIDADE SAUDE DA FAMILIA CRISTO REI",4740,1134,0.24
"3362","BA","291010","DOM BASÍLIO",2996499,"USF CENTRO 05",1538,626,0.41
"3363","BA","291050","ENTRE RIOS",5009685,"ESF DR AGNALDO RODRIGUES FRANCA",4244,1047,0.25
"3364","BA","291050","ENTRE RIOS",9051112,"ESF RAUL MALBOUISSON MELLO",3198,1184,0.37
"3365","BA","291060","ESPLANADA",5987830,"UNIDADE DE SAUDE DR ANTONIO GOMES DE OLIVEIRA",2415,770,0.32
"3366","BA","291060","ESPLANADA",3641392,"UNIDADE SAUDE DA FAMILIA DAS MALVINAS",3600,1093,0.3
"3367","BA","291070","EUCLIDES DA CUNHA",7557620,"UNIDADE DE SAUDE DA FAMILIA JOSE BARBOSA NETO",1631,831,0.51
"3368","BA","291070","EUCLIDES DA CUNHA",7557663,"UNIDADE DE SAUDE DA FAMILIA JOEL CARVALHO DE ABREU",3878,1925,0.5
"3369","BA","291070","EUCLIDES DA CUNHA",7557612,"UNIDADE DE SAUDE DA FAMILIA DE PINHOES",2040,983,0.48
"3370","BA","291072","EUNÁPOLIS",3423611,"UNIDADE BASICA DE SAUDE DINAH BORGES",8275,1171,0.14
"3371","BA","291072","EUNÁPOLIS",2556529,"UNIDADE BASICA DE SAUDE DA FREI ANGELICO",2811,901,0.32
"3372","BA","291072","EUNÁPOLIS",2556626,"UNIDADE BASICA DE SAUDE DO ROSA NETO",3111,899,0.29
"3373","BA","291072","EUNÁPOLIS",2556553,"UNIDADE BASICA DE SAUDE WALDA MOURA GUERRIERI",2938,1202,0.41
"3374","BA","291075","FÁTIMA",3222489,"UBS QUEIMADA GRANDE",893,407,0.46
"3375","BA","291075","FÁTIMA",3222497,"UBS CAPIM DURO",2503,1140,0.46
"3376","BA","291077","FEIRA DA MATA",3013340,"UNIDADE DE SAUDE DA FAMILIA DO RAMALHO",1262,527,0.42
"3377","BA","291077","FEIRA DA MATA",3013367,"UNIDADE DE SAUDE DA FAMILIA DE FEIRA DA MATA",3999,1494,0.37
"3378","BA","291080","FEIRA DE SANTANA",2401819,"UBS DISPENSARIO SANTANA",7678,1006,0.13
"3379","BA","291080","FEIRA DE SANTANA",3995259,"USF DO CAMPO LIMPO I V E VI PROGRAMA SAUDE NA HORA",16012,3620,0.23
"3380","BA","291080","FEIRA DE SANTANA",7581750,"CONSULTORIO NA RUA",534,178,0.33
"3381","BA","291080","FEIRA DE SANTANA",2401746,"USF DO GALHARDO",1851,584,0.32
"3382","BA","291080","FEIRA DE SANTANA",2401835,"USF DO FEIRA VII I",2586,243,0.09
"3383","BA","291080","FEIRA DE SANTANA",2505517,"USF DO ROSARIO",2266,786,0.35
"3384","BA","291080","FEIRA DE SANTANA",3934551,"USF DA GABRIELA II",3475,804,0.23
"3385","BA","291080","FEIRA DE SANTANA",3994864,"USF DO PARQUE BRASIL",3542,1009,0.28
"3386","BA","291080","FEIRA DE SANTANA",5667445,"USF MORADA TROPICAL",3452,567,0.16
"3387","BA","291080","FEIRA DE SANTANA",3471462,"USF DO CAMPO LIMPO III",2667,347,0.13
"3388","BA","291080","FEIRA DE SANTANA",9403299,"USF DO PARQUE IPE ANTONIO FERREIRA DA CONCEICAO",4328,721,0.17
"3389","BA","291080","FEIRA DE SANTANA",7997426,"USF DO ALTO DO ROSARIO",4533,1531,0.34
"3390","BA","291080","FEIRA DE SANTANA",7406118,"USF VIDEIRAS I II E III PROGRAMA SAUDE NA HORA",10301,2809,0.27
"3391","BA","291080","FEIRA DE SANTANA",454443,"USF BARROQUINHA E RUA NOVA 2 E 3 SAUDE NA HORA",7682,1774,0.23
"3392","BA","291080","FEIRA DE SANTANA",2505533,"USF DR EDUARDO NOGUEIRA FILHO",2986,475,0.16
"3393","BA","291080","FEIRA DE SANTANA",3433730,"USF DE TERRA DURA",3573,1180,0.33
"3394","BA","291080","FEIRA DE SANTANA",3993086,"USF DA CONCEICAO I",3853,678,0.18
"3395","BA","291080","FEIRA DE SANTANA",7013264,"USF PARQUE SERVILHA",1933,420,0.22
"3396","BA","291080","FEIRA DE SANTANA",7485360,"USF DA CONCEICAO IV",2835,934,0.33
"3397","BA","291120","GANDU",2402297,"UNIDADE DE SAUDE DA FAMILIA JOSE MIGUEL MACHADO",3839,992,0.26
"3398","BA","291140","GLÓRIA",2402432,"USF JOSE AMEM",2044,712,0.35
"3399","BA","291140","GLÓRIA",2402440,"USF AUGUSTO DA SILVA",2840,933,0.33
"3400","BA","291160","GOVERNADOR MANGABEIRA",6267572,"POSTO DE SAUDE DA FAMILIA DO JACAREZINHO",1821,634,0.35
"3401","BA","291165","GUAJERU",3557006,"UNIDADE DE SAUDE DA FAMILIA SANTA ROSA",2478,651,0.26
"3402","BA","291170","GUANAMBI",2412195,"UBS DR TULIO BOA SORTE",5106,1556,0.3
"3403","BA","291170","GUANAMBI",2412187,"UBS DR AVELAR PEREIRA VIANA",2825,780,0.28
"3404","BA","291170","GUANAMBI",2412209,"UBS DR JOSE HUMBERTO NUNES",3057,1057,0.35
"3405","BA","291170","GUANAMBI",2412691,"UBS EUJACIO VIEIRA COSTA",6102,2071,0.34
"3406","BA","291170","GUANAMBI",3556360,"UBS DR DEILSON RODRIGUES DA SILVA",3186,528,0.17
"3407","BA","291185","HELIÓPOLIS",3283925,"UBSF TIJUCO",3043,1392,0.46
"3408","BA","291190","IAÇU",5522544,"UNIDADE BASICA DE SAUDE DA FAMILIA DA BOIADEIRA II",3957,1353,0.34
"3409","BA","291200","IBIASSUCÊ",2412535,"UNIDADE DE SAUDE DA FAMILIA SEDE",2451,928,0.38
"3410","BA","291220","IBICOARA",3283682,"US DA FAMILIA DE CANJERANA",3014,1062,0.35
"3411","BA","291230","IBICUÍ",7413521,"USF ABEL CORNELIO DE MORAIS FILHO",2635,1388,0.53
"3412","BA","291230","IBICUÍ",5886449,"USF FRANCISCO DE ALMEIDA",794,395,0.5
"3413","BA","291240","IBIPEBA",2412489,"UNIDADE DE SAUDE DA FAMILIA ORMEZINA MARIA DA CONCEICAO",3419,1325,0.39
"3414","BA","291270","IBIRAPITANGA",5680980,"U S F VALDOMIRO BRITO DO AMPARO",4407,1796,0.41
"3415","BA","291270","IBIRAPITANGA",5711045,"U S F NELSON PINHEIRO",2606,602,0.23
"3416","BA","291280","IBIRAPUÃ",3357155,"UNIDADE DE SAUDE DA FAMILIA I MARIA TANIA ARAUJO",3369,731,0.22
"3417","BA","291290","IBIRATAIA",2413108,"USF ARISTOTELES DIAS DA FONSECA",2896,786,0.27
"3418","BA","291290","IBIRATAIA",2601818,"UNIDADE DE SAUDE DA FAMILIA ILTON LOPES LEAL",3224,640,0.2
"3419","BA","291330","ICHU",3020010,"UNIDADE DE SAUDE DA FAMILIA RITA MEIRE LIMA DA MOTA",1247,533,0.43
"3420","BA","291350","IGUAÍ",3902528,"UNIDADE DE SAUDE DA FAMILIA DR ALMIR FERREIRA",3191,1405,0.44
"3421","BA","291360","ILHÉUS",9970770,"UBS AV ESPERANCA",2308,651,0.28
"3422","BA","291360","ILHÉUS",7591519,"UNIDADE DE SAUDE PRISIONAL ADVOGADO ARISTON CARDOSO",0,NA,NA
"3423","BA","291360","ILHÉUS",2416174,"PS PONTA DA TULHA",333,115,0.35
"3424","BA","291360","ILHÉUS",2416409,"CENTRO DE SAUDE DO BANCO DA VITORIA",4370,1266,0.29
"3425","BA","291360","ILHÉUS",2416263,"UNIDADE DE SAUDE DA FAMILIA DE BANCO CENTRAL",731,236,0.32
"3426","BA","291360","ILHÉUS",3678512,"UNIDADE DE SAUDE DA FAMILIA TEOTONIO VILELA II",2887,743,0.26
"3427","BA","291360","ILHÉUS",6007228,"UNIDADE DE SAUDE DA FAMILIA DA CONQUISTA I",4969,1064,0.21
"3428","BA","291370","INHAMBUPE",2627272,"UNIDADE DE SAUDE DA FAMILIA DE FORMOSO",1740,581,0.33
"3429","BA","291380","IPECAETÁ",7689748,"USF DA SEDE II",2531,1094,0.43
"3430","BA","291390","IPIAÚ",4026527,"CENTRO DE SAUDE DR ELVIDIO ANTONIO SANTOS",5735,1636,0.29
"3431","BA","291390","IPIAÚ",4026489,"UNIDADE DE SAUDE DA FAMILIA NOE BONFIM",3530,915,0.26
"3432","BA","291400","IPIRÁ",2824558,"UNIDADE DE SAUDE DA FAMILIA DO BONFIM DE IPIRA",2687,966,0.36
"3433","BA","291400","IPIRÁ",3947572,"UNIDADE DE SAUDE DA FAMILIA DE JOAO VELHO",2188,793,0.36
"3434","BA","291430","IRAMAIA",3921239,"UNIDADE DE SAUDE DA FAMILIA MANOEL ABREU",2278,731,0.32
"3435","BA","291440","IRAQUARA",5318521,"UNIDADE DE SAUDE DA FAMILA JOSE FRANCISCO LOPES",3333,1448,0.43
"3436","BA","291450","IRARÁ",5542707,"USF DR GILBERTO BATISTA DE FREITAS",3096,1334,0.43
"3437","BA","291460","IRECÊ",3749886,"UBSF SINEZIA CALDEIRA BELLA BAIXAO DE SINEZIA",3917,1245,0.32
"3438","BA","291460","IRECÊ",3185486,"UNIDADE DE SAUDE DA FAMILIA AMADOR AGUIAR",4980,1318,0.26
"3439","BA","291460","IRECÊ",3749819,"UBSF ZILDA VASCONCELOS VIVENDAS",4427,683,0.15
"3440","BA","291460","IRECÊ",2532824,"UBSF LAGOA NOVA",2215,850,0.38
"3441","BA","291460","IRECÊ",7617747,"UBSF CAMILA GOMES DE FREITAS",4211,854,0.2
"3442","BA","291465","ITABELA",5372313,"ESF CENTRO II",2874,1139,0.4
"3443","BA","291465","ITABELA",5252253,"ESF JAQUEIRA",1575,797,0.51
"3444","BA","291470","ITABERABA",6641415,"UNIDADE DE SAUDE DA FAMILIA MARIA LUCIA MACEDO SILVA",5465,1191,0.22
"3445","BA","291470","ITABERABA",7528531,"UNIDADE DE SAUDE ENELITA PEREIRA DIAS DOS ANJOS 1",3890,567,0.15
"3446","BA","291480","ITABUNA",2470586,"UBS LAVIGNIA MAGALHAES",8785,1041,0.12
"3447","BA","291480","ITABUNA",2470500,"UBS DILSON CORDIER",9897,2401,0.24
"3448","BA","291480","ITABUNA",2470535,"USF CORBINIANO FREIRE",4718,1378,0.29
"3449","BA","291480","ITABUNA",5494362,"U S F DR ANTONIO MENEZES FILHO",7045,1155,0.16
"3450","BA","291480","ITABUNA",6008267,"UNIDADE DE SAUDE DA FAMILIA BAIRRO MANOEL LEAO",2020,501,0.25
"3451","BA","291535","ITAGUAÇU DA BAHIA",3034429,"UNIDADE DE SAUDE DA FAMILIA DE NOVA IGUACU",2194,953,0.43
"3452","BA","291550","ITAJUÍPE",9699295,"USF MARIVALDO ARAUJO RIBEIRO",3298,920,0.28
"3453","BA","291550","ITAJUÍPE",6050913,"USF DR GENEBALDO DE SOUZA SANTOS",3894,1134,0.29
"3454","BA","291560","ITAMARAJU",2414163,"ESFSB VARZEA ALEGRE 1 E 2",5411,1830,0.34
"3455","BA","291560","ITAMARAJU",5297559,"ESFSB CENTRO III",3176,765,0.24
"3456","BA","291560","ITAMARAJU",5688337,"ESF FATIMA 3",2635,517,0.2
"3457","BA","291560","ITAMARAJU",935891,"ESF LIBERDADE",3009,1116,0.37
"3458","BA","291610","ITAPARICA",3019705,"UNIDADE DE SAUDE DA FAMILIA MOCAMBO",1418,557,0.39
"3459","BA","291640","ITAPETINGA",2414716,"CENTRO DE SAUDE JOSE MENDONCA LUNA",2296,442,0.19
"3460","BA","291640","ITAPETINGA",7026242,"UNIDADE DE SAUDE DE BANDEIRA DO COLONIA II",1338,336,0.25
"3461","BA","291640","ITAPETINGA",2414724,"UNIDADE DE SAUDE DA FAMILIA 04 VILA ISABEL",3614,848,0.23
"3462","BA","291650","ITAPICURU",48062,"U S F BOA VISTA",139,79,0.57
"3463","BA","291670","ITAQUARA",2304120,"USF VILA CASTELO BRANCO",1138,457,0.4
"3464","BA","291680","ITARANTIM",2417502,"UNIDADE DE SAUDE DA FAMILIA ITARANTIM",1894,763,0.4
"3465","BA","291685","ITATIM",7507429,"USF NOVO ITATIM",2865,1014,0.35
"3466","BA","291685","ITATIM",4027566,"UNIDADE DE SAUDE DA FAMILIA DA SALGADA",2670,953,0.36
"3467","BA","291690","ITIRUÇU",2444712,"UNIDADE DE SAUDE DA FAMILIA DE UPABUCU",1825,668,0.37
"3468","BA","291700","ITIÚBA",7204469,"UNIDADE SAUDE DA FAMILIA PROJETO SERTANJEO I",3216,1376,0.43
"3469","BA","291700","ITIÚBA",2799561,"UNIDADE DE SAUDE DA FAMILIA DO CENTRO",8504,2957,0.35
"3470","BA","291700","ITIÚBA",7388330,"UNIDADE DE SAUDE DA FAMILIA DE PEDRA SOLTA",2000,884,0.44
"3471","BA","291710","ITORORÓ",7035349,"UNIDADE DE SAUDE DA FAMILIA EURICO ARAUJO",3553,1259,0.35
"3472","BA","291720","ITUAÇU",3023346,"USF DO CAMPO GRANDE",1786,824,0.46
"3473","BA","291733","IUIÚ",2466635,"UNIDADE DE SAUDE DA FAMILIA DE PINDORAMA",2881,1141,0.4
"3474","BA","291740","JACARACI",2466708,"USF ANTONIO GOMES PORTO",3006,861,0.29
"3475","BA","291750","JACOBINA",6662633,"UBS NOVO AMANHECER",3971,1313,0.33
"3476","BA","291760","JAGUAQUARA",4027922,"USF VANDERLAN SANTOS ALENCAR",3140,995,0.32
"3477","BA","291770","JAGUARARI",9033793,"ESF SALOMAO CARVALHO",3930,1225,0.31
"3478","BA","291770","JAGUARARI",2533375,"ESF RAUL LOPEZ ESCUDEIRO",3753,1122,0.3
"3479","BA","291780","JAGUARIPE",2469839,"UNIDADE DE SAUDE DA FAMILIA DE CACOES",1592,485,0.3
"3480","BA","291780","JAGUARIPE",2469847,"UNIDADE DE SAUDE DA FAMILIA DE MUTA",2136,662,0.31
"3481","BA","291800","JEQUIÉ",3502856,"USF ILDEFONSO GUEDES",2636,561,0.21
"3482","BA","291800","JEQUIÉ",5975190,"USF VIRGILIO DE PAULA TOURINHO NETO",6254,1439,0.23
"3483","BA","291810","JEREMOABO",7391773,"UNIDADE DE SAUDE DA FAMILIA SERTAO II",2490,1079,0.43
"3484","BA","291810","JEREMOABO",2469898,"UNIDADE DE SAUDE DA FAMILIA RIACHO SAO JOSE",2934,1240,0.42
"3485","BA","291840","JUAZEIRO",2770717,"USF NOVO ENCONTRO",8794,1678,0.19
"3486","BA","291840","JUAZEIRO",2770989,"USF JOSE ARAUJO DE SOUZA",4290,1162,0.27
"3487","BA","291840","JUAZEIRO",3220265,"USF SAO GERALDO",4163,776,0.19
"3488","BA","291840","JUAZEIRO",3734137,"USF JARDIM PRIMAVERA",2994,887,0.3
"3489","BA","291840","JUAZEIRO",5460573,"USF ANTONIO GUILHERMINO",4746,1470,0.31
"3490","BA","291840","JUAZEIRO",2824981,"USF CAIC",3473,1142,0.33
"3491","BA","291840","JUAZEIRO",2597888,"USF GOIABEIRA JUNCO",2765,971,0.35
"3492","BA","291840","JUAZEIRO",2597896,"USF JUREMAL MASSAROCA",2933,790,0.27
"3493","BA","291845","JUCURUÇU",2532956,"ESFSB AGUA LIMPA 04",881,342,0.39
"3494","BA","291850","JUSSARA",2601494,"UBSF ODILON DE SOUZA PEREIRA",2948,1088,0.37
"3495","BA","291855","JUSSARI",2483238,"USF VALDENOR CORDEIRO",1941,786,0.4
"3496","BA","291875","LAGOA REAL",2483343,"UNIDADE DE SAUDE DA FAMILIA HELENITA ALVES DIAS",2728,1013,0.37
"3497","BA","291875","LAGOA REAL",4028201,"UNIDADE DE SAUDE DA FAMILIA VITORIA NOVAIS",2161,1058,0.49
"3498","BA","291905","LAJEDO DO TABOCAL",2601621,"UNIDADE DE SAUDE DA FAMILIA DR ANTENOR R COSTA",3409,1112,0.33
"3499","BA","291915","LAPÃO",2483564,"UBSF ANA MATOS MANDACARU",2990,957,0.32
"3500","BA","291920","LAURO DE FREITAS",2799189,"UNIDADE DE SAUDE DA FAMILIA ANTONIO CARLOS RODRIGUES",4902,1289,0.26
"3501","BA","291940","LICÍNIO DE ALMEIDA",2483181,"UNIDADE DE SAUDE DA FAMILIA DE JUREMA",2405,826,0.34
"3502","BA","291940","LICÍNIO DE ALMEIDA",6631789,"UNIDADE DE SAUDE DA FAMILIA ERALDO TINOCO",2330,561,0.24
"3503","BA","291955","LUÍS EDUARDO MAGALHÃES",545597,"ESF ALESSANDRA HILLMAN",2383,665,0.28
"3504","BA","291980","MACAÚBAS",7206127,"ESFSB LAGOA DO MAURICIO",1605,744,0.46
"3505","BA","291980","MACAÚBAS",5546877,"ESFSB LOTEAMENTO BASTOS",2752,985,0.36
"3506","BA","291980","MACAÚBAS",7370210,"ESF ESTRATEGIA SAUDE DA FAMILIA BARRA DE CIMA",1708,844,0.49
"3507","BA","291980","MACAÚBAS",261149,"ESF GAMELEIRA",1610,592,0.37
"3508","BA","291992","MADRE DE DEUS",7984472,"UNIDADE DE SAUDE DA FAMILIA DA CURURUPEBA",3728,1155,0.31
"3509","BA","291995","MAETINGA",3357457,"USF VEREDA DO MEIO",1111,417,0.38
"3510","BA","292010","MAIRI",5617049,"UNIDADE DE SAUDE DA FAMILIA DILTON OLIVEIRA SANTOS",3887,1372,0.35
"3511","BA","292010","MAIRI",2493667,"UNIDADE DE SAUDE DA FAMILIA ENESIA FERNANDES DOS SANTOS",1045,324,0.31
"3512","BA","292020","MALHADA",2493209,"UNIDADE DE SAUDE DA FAMILIA ZULEIDE NUNES DE ARAUJO B SORTE",3590,1399,0.39
"3513","BA","292020","MALHADA",3691373,"UNIDADE DE SAUDE DA FAMILIA ROSARIA MENDES FERREIRA",2266,937,0.41
"3514","BA","292030","MALHADA DE PEDRAS",7142420,"UNIDADE DE SAUDE DA FAMILIA JOSE FERNANDES GUIMARAES",2031,934,0.46
"3515","BA","292050","MARACÁS",5623677,"U S F AUREO MEIRA",4712,1311,0.28
"3516","BA","292060","MARAGOGIPE",2550156,"UNIDADE DE SAUDE DA FAMILIA DE CAPANEMA",3368,1474,0.44
"3517","BA","292070","MARAÚ",6227724,"PSF MARAU",2110,753,0.36
"3518","BA","292090","MASCOTE",2498197,"PS DE PIMENTA",1150,467,0.41
"3519","BA","292100","MATA DE SÃO JOÃO",2802171,"UNIDADE DE SAUDE DA FAMILIA DOMINGOS FERREIRA DOS SANTOS",5812,996,0.17
"3520","BA","292100","MATA DE SÃO JOÃO",2498073,"UNIDADE DE SAUDE DA FAMILIA JOSE ALVES GONCALVES DOS SANTOS",3311,757,0.23
